date,startup,vertical,subvertical,city,investors,round,amount,Date
14/02/2018,littlemore,Ed-Tech,Online Education Platform,Chennai,Kalpavriksh,Private Equity,24.9,2018-02-14
14/02/2018,toppr,Ed-Tech,Online Education Platform,Mumbai,Axis Capital Partners,Private Equity,0.83,2018-02-14
14/02/2018,shirsa,Ed-Tech,Integrated Kids Engagement Company,Mumbai,"Dewang Neralla, Mahesh Kothurkar,Atul Agarwal",Private Equity,4.15,2018-02-14
14/02/2018,moneyonmobile,Technology,mobile payment platform,Mumbai,S7 Group,Private Equity,41.5,2018-02-14
15/02/2018,petsutra,Consumer Internet,Online Pet Care Products,Gurugram,Michael Patrick Hickey,Seed / Angel Funding,1.23,2018-02-15
15/02/2018,infibeam,E-Commerce,Online Retailing,Ahemadabad,Network 18,Private Equity,51.71,2018-02-15
16/02/2018,happay,Finance,Expense Management,Bengaluru,Sequoia and Jerry Yang,Seed / Angel Funding,2.08,2018-02-16
16/02/2018,fincash,Finance,Fin-Tech,Mumbai,"Mohammed Khan, Sameer Narayan & Others",Seed / Angel Funding,1.25,2018-02-16
19/02/2018,ayefinance,Finance,Online Lending,Gurugram,"Hinduja Leyland Finance, IntelleGrow",Private Equity,31.54,2018-02-19
20/02/2018,agricx,Agriculture,Agri-tech,Mumbai,Ankur Capital,Seed / Angel Funding,4.15,2018-02-20
21/02/2018,udaan,E-Commerce,B2B Marketplace,Bengaluru,Lightspeed & Yuri Milner,Private Equity,415.0,2018-02-21
21/02/2018,capillary,IT,SaaS,Bengaluru,"Wargburg Pincus, Sequoia",Private Equity,166.0,2018-02-21
21/02/2018,thehealthybillions,Healthcare,Analytics,Gurugram,"Blume Ventures, HealthQuad and Fireside Ventures",Private Equity,17.43,2018-02-21
21/02/2018,highradius,Technology,Cloud-based Software,Hyderabad,"PNC, Citi Ventures",Private Equity,0.0,2018-02-21
26/02/2018,avishkaarbox,Ed-Tech,Education,Delhi,Auxano Deals,Private Equity,6.41,2018-02-26
26/02/2018,planys,Technology,Robotic InspectionStartup,Chennai,"Kris Gopalakrishnan, Pratithi Investment Trust, MEMG Family Office, S Gopal",Private Equity,8.63,2018-02-26
27/02/2018,lollypop,Technology,Digital Design,Bengaluru,Dr Devi Shetty,Seed / Angel Funding,0.0,2018-02-27
27/02/2018,trilyo,Technology,AI platform for hospitality industry,Mumbai,"Startup Buddy,Amit Manocha and others",Seed / Angel Funding,2.08,2018-02-27
28/02/2018,gaana,Technology,Online Music Streaming,Gurugram,"Tencent Holdings Ltd, Times Internet",Private Equity,954.5,2018-02-28
28/02/2018,credy,IT,SaaS,Bengaluru,"Y Combinator, Khosla Ventures, Vy Capital and others",Seed / Angel Funding,11.62,2018-02-28
28/02/2018,prediblehealth,Healthcare,Cancer radiology,Bengaluru,Unitus Seed Fund,Seed/Angel Funding,0.0,2018-02-28
02/01/2018,clevertap,Technology,Mobile App Analytics,Mumbai,"Recruit Holdings, Sequoia Capital India, Accel Partners",Angel / Seed Funding,0.0,2018-01-02
04/01/2018,earlysalary,Finance,Online Lending,Pune,Eight Roads Ventures India,Private,130.31,2018-01-04
05/01/2018,wotu,E-commerce,Food and Beverages,Bengaluru,"Claris Capital, Mumbai Angels Network",Angel / Seed Funding,0.0,2018-01-05
08/01/2018,daaki,E-commerce,Sports Nutrition Supplement etailer,Bengaluru,Rohan Agila,Angel / Seed Funding,0.0,2018-01-08
09/01/2018,lendingkart,Finance,Online Lending,Ahmedabad,Nederlandse Financierings-Maatschappij voor Ontwikkelingslanden N.V.,Debt Funding,39.01,2018-01-09
10/01/2018,tapzo,Technology,Personal Assistant,Bengaluru,RuNet & Other,Private Equity,16.02,2018-01-10
10/01/2018,appario,E-commerce,Retail,Delhi,Amazon-Patni JV,Private Equity,156.37,2018-01-10
10/01/2018,samunnati,Finance,Agricultural Loan,Chennai,"responsAbility, Elevar Equity and Accel Partners",Private Equity,195.05,2018-01-10
10/01/2018,sahajanandmedical,Technology,Medical Devices,Surat,Morgan Stanley Private Equity Asia,Private Equity,300.71,2018-01-10
12/01/2018,kuants,Technology,Algorithmic Trading,Gurgaon,"Pankaj Chopra, Ankush Gupta",Angel / Seed Funding,0.66,2018-01-12
12/01/2018,razorpay,Technology,Payment Gateway,Bengaluru,"Tiger Global, Y Combinator",Private Equity,166.0,2018-01-12
15/01/2018,streak,Technology,Algorithmic Trading,Bengaluru,"Indian fintech fund, Rainmatter",Angel / Seed Funding,2.94,2018-01-15
15/01/2018,piventures,Finance,Venture Capital,Bengaluru,"Sunil Kant Munjal, Hero Electronix\\xe2\\x80\\x99s corporate financing arm, Electronic Development Fund",Private Equity,207.5,2018-01-15
15/01/2018,newgensoftware,Technology,IT,New Delhi,"Goldman Sachs, hedge fund & Others",Private Equity,166.0,2018-01-15
17/01/2018,rubix,Technology,Education,Pune,Polaris Fund,Private Equity,8.3,2018-01-17
18/01/2018,sharechat,Technology,Social,Bengaluru,"Xiaomi Singapore, Shunwei Capital",Private Equity,151.06,2018-01-18
22/01/2018,paperflite,Technology,IT,Chennai,The Chennai Angels,Angel / Seed Funding,3.32,2018-01-22
22/01/2018,hungerbox,Consumer Internet,Food and Beverages,Bangalore,Lionrock Capital,Private Equity,20.75,2018-01-22
22/01/2018,skillate,Technology,Artificial Intellegence,Bengaluru,"Incubate Fund India, Anuj Agrawal",Private Equity,0.0,2018-01-22
22/01/2018,optacredit,Finance,Alternative Lending,Chennai,DMI Finance,Private Equity,33.2,2018-01-22
22/01/2018,aeonlearning,Technology,Education,Bengaluru,Dr. Ranjan Pai,Private Equity,26.56,2018-01-22
23/01/2018,milkbasket,E-commerce,Online Grocery,Gurugram,Unilever Ventures,Private Equity,24.9,2018-01-23
24/01/2018,neogrowthcredit,Finance,Digital Lending,Mumbai,"LeapFrog Investments, Aspada Investment, Quona Capital",Private Equity,390.1,2018-01-24
24/01/2018,raoiitacademy,Education,Coaching Services,Mumbai,Avendus Finance,Structured Debt,71.38,2018-01-24
24/01/2018,ayefinance,Finance,Online Lending,Gurugram,IFMR Capital,Term Loan,51.79,2018-01-24
25/01/2018,glassic,Ecommerce,Eyewear,Bengaluru,"Chennai Angels, Lead Angels, LetsVenture",Angel / Seed Funding,0.0,2018-01-25
25/01/2018,greyatom,Technology,Education,Mumbai,Pravega Ventures,Private Equity,8.3,2018-01-25
26/01/2018,axio,Healthcare,Hemostatic Dressing Solutions,Bengaluru,RNT Capital,Private Equity,61.42,2018-01-26
29/01/2018,ekincare,Healthcare,Technology,Hyderabad,"Ventureast, Endiya Partners, Eight Roads Ventures, Touchstone Equities, BVR Mohan Reddy",Private Equity,12.45,2018-01-29
29/01/2018,theweddingbrigade,Consumer internet,Online Services,Mumbai,Blume Ventures,Private Equity,8.3,2018-01-29
30/01/2018,peesafe,Healthcare,Hygiene,Gurugram,"Shivani Singh, Rahul Maroli, Mitesh Shah, Venture Catalysts, Alfa Capital, Green Shots Capital, Real Time Ventures.",Private Equity,8.3,2018-01-30
30/01/2018,browserstack,Technology,Browser Testing,Mumbai,Accel Partners,Private Equity,415.0,2018-01-30
30/01/2018,scapic,Technology,Virtual Reality,Bengaluru,"Axilor Ventures, Newfort Capital",Angel / Seed Funding,4.15,2018-01-30
30/01/2018,moneyonmobile,Technology,Mobile Payment Platform,Mumbai,Undisclosed Investors,Private Equity,63.08,2018-01-30
30/01/2018,curefit,Healthcare,Fitness,Bengaluru,"HDFC Bank, Axis Bank",Debt Funding,83.0,2018-01-30
31/01/2018,inurture,Technology,Education Solutions,Bengaluru,Ventureast,Private Equity,36.52,2018-01-31
01/12/2017,strataenviro,Technology,IoT based air pollution controller,Mumbai,Scale Minds,Private Equity,0.0,2017-12-01
05/12/2017,dunzo,Technology,Daily Task Management Mobile App,Bangalore,Google,Private Equity,102.09,2017-12-05
05/12/2017,tatahousing,Real Estate,Residential Project,Mumbai,Hines,Private Equity,190.9,2017-12-05
05/12/2017,handytrain,Technology,Mobile Learning Management Platform,Goa,NB Ventures,Private Equity,8.3,2017-12-05
05/12/2017,mobycy,Technology,Bicycle sharing Platform,Gurgaon,Undisclosed Investors,Seed/Angel Funding,4.15,2017-12-05
06/12/2017,greenlightplanet,Technology,Off-grid solar products platform,Mumbai,"Apis Partner, Eight Roads Ventures, Bamboo Capital Partners",Private Equity,498.0,2017-12-06
06/12/2017,fintobox,Technology,Child Learning & Development Platform,Chennai,Lightbox,Private Equity,58.1,2017-12-06
07/12/2017,mswipe,Technology,Mobile point of sale services provider,Mumbai,Eduardo Saverin,Private Equity,83.0,2017-12-07
07/12/2017,thelabellife,E-Commerce,Home Decor and Online Fashion Portal,Mumbai,Kalpvriksh,Private Equity,25.73,2017-12-07
07/12/2017,cygnushospitals,Healthcare,Super speciality Hospitals,Gurgaon,Somerset Indus Capital Ventures,Seed/Angel Funding,6.22,2017-12-07
07/12/2017,eshakti,Ecommerce,"""Women\\'s Fashion Clothing Online Platform""",Chennai,IDG Ventures,Debt Funding,19.09,2017-12-07
08/12/2017,inshorts,Technology,Mobile News Curation App,Noida,Tiger Global,Private Equity,41.5,2017-12-08
11/12/2017,vahdamtea,E-Commerce,Online Platform Selling Indian Tea Globally,Delhi,"Singapore Angel Network, Mumbai Angel",Private Equity,12.45,2017-12-11
11/12/2017,logicroots,Technology,Educational Platform to Learn Mathematics,Mumbai,Village Capital,Seed/Angel Funding,0.41,2017-12-11
11/12/2017,projectmudra,Technology,Assisting Visually Impaired to learn through Braille,Bengaluru,Village Capital,Seed/Angel Funding,0.41,2017-12-11
11/12/2017,furlen,Technology,Furniture Rental Platform,Bengaluru,Aamir Khan,Debt Funding,9.96,2017-12-11
12/12/2017,icanstay,Technology,Hotel Aggregator Platform,Delhi,HT Media,Private Equity,14.94,2017-12-12
12/12/2017,fracktalworks,Technology,Platform based on 3D printing and Digital Manufacturing,Bengaluru,Hyderabad Angels,Seed/Angel Funding,0.0,2017-12-12
12/12/2017,simility,Technology,Adaptive Fraud Intelligence Platform,Hyderabad,Accel Partners,Private Equity,145.25,2017-12-12
12/12/2017,shopholix,E-Commerce,Fashion and Lifestyle Coupon Platform,Gurgaon,Munesh Khanna,Seed/Angel Funding,1.93,2017-12-12
13/12/2017,mindtickle,Technology,Gamification Platform to train Sales People,Pune,Canaan Partners,Private Equity,224.1,2017-12-13
13/12/2017,nazara,Technology,Mobile Games Development Firm,Mumbai,Rakesh Jhunjhunwala,Private Equity,224.1,2017-12-13
13/12/2017,docs,Technology,Mobile Application for Doctor Consultation,Bengaluru,Bessemer Venture Partners,Private Equity,59.76,2017-12-13
13/12/2017,capitaworld,Technology,Artificial Intelligence Platform to Raise Funds,Mumbai,"Mohan Tanksale, Kiran Shetty, Darshak Shah, Mandar Mhatre",Private Equity,0.0,2017-12-13
14/12/2017,teabox,E-Commerce,Fresh Indian Tea Selling Platform across 112 countries,Bengaluru,RB Investments,Private Equity,58.1,2017-12-14
14/12/2017,transversal,Technology,Hyperlocal Video Information Sharing Platform,Bengaluru,Matrix Partners,Private Equity,49.8,2017-12-14
14/12/2017,curofy,Technology,Mobile App for Network of Doctors,Gurgaon,RoundGlass Partners LLC,Seed/Angel Funding,2.08,2017-12-14
14/12/2017,homelane,E-Commerce,Online Furniture Marketplace,Bengaluru,"Accel Partners, Sequoia Capital, RB Investments",Private Equity,83.0,2017-12-14
14/12/2017,wedosky,Technology,Provides Business Insights using Drone Imaginary,Delhi,Mumbai Angels Network,Private Equity,0.0,2017-12-14
15/12/2017,purplle,E-Commerce,Beauty Products Online Marketplace,Mumbai,"Mountain Pain Capital, Suncoast Investments",Seed/Angel Funding,4.46,2017-12-15
18/12/2017,skymetweather,Technology,Weather Forecast Platform,Noida,InsuResillience Investment Fund,Private Equity,0.0,2017-12-18
19/12/2017,springboard,Technology,Online Courses and Mentoring from Experts,Bengaluru,"Costanoa, Learn Capital, Jyoti Bansal",Private Equity,78.85,2017-12-19
19/12/2017,peelworks,Technology,SaaS based Big Data Analytics Platform,Mumbai,Unilever Ventures,Private Equity,0.0,2017-12-19
19/12/2017,9stacks,Technology,Online Poker Platform,Delhi,"Swati Gupta, Purnima Khandelwal, Maheshwar Peri, Sanjay Singh",Private Equity,12.45,2017-12-19
20/12/2017,yourquote,Technology,Vernacular and Video Content Platform,Bengaluru,"Axilor Ventures, E-City VEntures Atul Goel",Private Equity,8.3,2017-12-20
20/12/2017,spandanasphoorty,Finance,Micro finance institution providing small ticket unsecured loans to women,Hyderabad,"""Kedaraa Capital, Ontario Teachers\\'""",Private Equity,161.85,2017-12-20
21/12/2017,indusos,Technology,Regional Operating System for Smartphones,Mumbai,Omidyar Network,Private Equity,33.2,2017-12-21
21/12/2017,easyecom,E-Commerce,Ecommerce enabler platform,Bengaluru,"Ambarish Gupta, Aneesh Reddy, Bold Ventures, Vona Investments",Seed/Angel Funding,1.25,2017-12-21
21/12/2017,igpcom,E-Commerce,Online Gifting Platform,Uttar Pradesh,Venture Catalysts,Private Equity,0.0,2017-12-21
26/12/2017,specsmakers,E-Commerce,Online Spects Platform for Men and Women,Chennai,Eight Roads Ventures India,Private Equity,83.0,2017-12-26
27/12/2017,garageonroad,E-Commerce,Online vehicle service booking platform,Noida,Gaurav Gupta,Private Equity,0.0,2017-12-27
27/12/2017,foyrcom,Technology,Realty Tech Startup solving real life Interior Designing problems,Hyderabad,Jones Lang LaSalle,Private Equity,31.54,2017-12-27
02/11/2017,prestloans,Finance,Business & SME Loans provider,New Delhi,"Manish Poddar, Arun Garg, Parmeshwar Sharma",Seed Funding,4.73,2017-11-02
02/11/2017,aadharapicom,Technology,Aadhaar-based API provider,Pune,CIO Angel Network,Seed Funding,0.0,2017-11-02
02/11/2017,freshboxx,ECommerce,Online Grocery Store,Bangalore,Jayant Humbarwadi,Seed Funding,0.0,2017-11-02
03/11/2017,vagupu,Technology,Online Tutorial Marketplace,Bangalore,Undisclosed Investors,Seed Funding,8.3,2017-11-03
03/11/2017,halaplay,Consumer Internet,Online Fantasy Games,Mumbai,"Kae Capital Management, Nazara Technologies",Seed Funding,0.0,2017-11-03
03/11/2017,kalpnik,Technology,VR based Spiritual platform,Bangalore,Venture Catalysts,Seed Funding,4.15,2017-11-03
04/11/2017,hevodata,Technology,Real time data analytics & reporting,Bangalore,IDG Ventures India,Private Equity,8.3,2017-11-04
06/11/2017,smartkarma,Technology,Financial Technology Research Platform,Bangalore,IDG Ventures India,Private Equity,0.0,2017-11-06
06/11/2017,leverageedu,ECommerce,Online platform for Higher Education Services,New Delhi,"Alok Mittal, Deepak Jain, Ritesh Malik, Jim Schimdktke",Seed Funding,0.0,2017-11-06
07/11/2017,crayondata,Technology,Customer Engagement Platform,New Delhi,Infosys co-founder Kris Gopalakrishnan,Seed Funding,0.0,2017-11-07
07/11/2017,doctalk,Technology,Doctor Patient Communication platform,Mumbai,"Matrix Partners India, Khosla Ventures",Private Equity,41.5,2017-11-07
07/11/2017,coveiot,Technology,Wearable tech and Internet of Things platform,Bangalore,"Titan Co Ltd, Tata Group\\xe2\\x80\\x99s watch and jewellery retailing firm",Private Equity,41.5,2017-11-07
08/11/2017,talentedge,Technology,Distance Education Learning Platform,Bangalore,Lumis Partners,Private Equity,63.08,2017-11-08
08/11/2017,fisdom,Finance,Mutual Fund Investment App,Bangalore,Quona Capital Management,Private Equity,24.9,2017-11-08
08/11/2017,farmlink,eCommerce,Online platform for Agricultural products,Mumbai,"Pioneering Ventures, Syngenta AG",Private Equity,24.9,2017-11-08
08/11/2017,open,Technology,IoT based Tech Startup,Bangalore,"Axilor Ventures, Kumar Vembu",Private Equity,29.88,2017-11-08
09/11/2017,nopaperforms,Technology,Enrolment Management Platform,Delhi,Info Edge,Seed Funding,7.24,2017-11-09
09/11/2017,tilite,Technology,Saas based Corporate Travel Management Solution,Bangalore,Matrix Partners,Seed Funding,0.0,2017-11-09
09/11/2017,mobilizar,Technology,Augmented Reality based Tech platform,Bangalore,"IDG Ventures, IDFC-Parampara Fund",Private Equity,0.0,2017-11-09
10/11/2017,qubole,Technology,Big Data based analytics platform,Bangalore,"Singtel, Innov8, Harmony Partners",Private Equity,207.5,2017-11-10
10/11/2017,happilyunmarried,ECommerce,Online Gifting platform,Nw Delhi,Wipro Consumer Care,Private Equity,0.0,2017-11-10
13/11/2017,universalsportsbiz,ECommerce,Celebrity fashion accessories and merchandise,Mumbai,Accel Partners,PrivateEquity,124.5,2017-11-13
14/11/2017,hungryfoal,Ecommerce,Healthy & Nutrition based snacks online platform,Gurgaon,GAIL India Ltd,Seed Funding,0.0,2017-11-14
14/11/2017,activeai,Technology,AI based FinTech platform,Bangalore,Vertex Ventures,Private Equity,68.47,2017-11-14
15/11/2017,sumeru,Technology,Banking Software License Platform,Bangalore,Undisclosed Investors,Seed Funding,7.47,2017-11-15
15/11/2017,elderaidwellness,Health Care,Social Healthcare Enterprise,Bangalore,Rugmini Menon,Angel Funding,0.0,2017-11-15
15/11/2017,omniainformation,Technology,WiFi Analytics Platform,Delhi,Omidyar Network,Private Equity,24.9,2017-11-15
15/11/2017,joshtalks,Inspiration,Storytelling platform,Gurgaon,"Girish Mathrubootham, Apurva Chamaria, Rohit Chanana",Private Equity,0.0,2017-11-15
15/11/2017,reniso,Technology,End-to-End property management for landlords living away,New Delhi,"Nishit Sharma, Alok Srivastava",Seed Funding,0.0,2017-11-15
17/11/2017,kanhaiya,Inspiration,Storytelling platform,Hyderabad,Undisclosed Investors,Seed/Angel Funding,1.66,2017-11-17
17/11/2017,perspecti,Technology,Placement preparation and career growth training platform,Delhi,"SSCBS Innovation, Incubation Foundation (SIIF)",Seed/Angel Funding,0.0,2017-11-17
20/11/2017,onnbikes,Technology,Self riding bike rental program,Mumbai,Z Nation Lab,Seed/Angel Funding,5.74,2017-11-20
21/11/2017,rapido,Technology,Bike and Taxi pooling online platform,Hyderabad,"Skycatcher Fund, Aravind Sanka",Seed/Angel Funding,2.73,2017-11-21
21/11/2017,heckyl,Technology,Big Data Analytics Platform,Mumbai,"Notion Capital, IDG Ventures",Private Equity,22.41,2017-11-21
21/11/2017,nuvepro,Technology,Managed Cloud Environment Solutions,Mumbai,1Crowd,Seed/Angel Funding,3.32,2017-11-21
21/11/2017,redbook,Technology,AI based pharmacy drugs insights platform,Mumbai,"Vida Ventures, Dr. Aniruddha Malpani",Seed/Angel Funding,2.08,2017-11-21
21/11/2017,portea,Healthcare,Healthcare facilities at doorstep,Bangalore,"Sabre Partners, MEMG CDC",Private Equity,215.8,2017-11-21
21/11/2017,creditmate,Technology,Vehicle loan approval platform,Mumbai,Paytm,Private Equity,0.0,2017-11-21
21/11/2017,epiqcapital,Finance,Tech based investor firm,Mumbai,Global Institutional Investors,Private Equity,1660.0,2017-11-21
22/11/2017,mistay,Technology,Online Hotel Reservation Platform,Bangalore,Axilor Ventures,Seed/Angel Funding,0.0,2017-11-22
23/11/2017,wittyfeed,Storytelling,Viral Content and storytelling platform,Indore,Sandeep Aggarwal,Seed/Angel Funding,0.0,2017-11-23
24/11/2017,idg,Finance,Venture Capitalist,Bangalore,Uniliver Ventures,Private Equity,83.0,2017-11-24
24/11/2017,tempgo,Technology,IoT and SaaS based transportation platform,Goa,Javelin StartupO Victory Fund,Seed/Angel Funding,2.08,2017-11-24
27/11/2017,edelweiss,Finance,Diversified Financial,Mumbai,Undisclosed investors,Private Equity,2241.0,2017-11-27
27/11/2017,era,Technology,Identity management platform,Mumbai,Amit Patni,Seed/Angel Funding,0.32,2017-11-27
27/11/2017,smaaash,Technology,Virtual Reality based gaming platform,Mumbai,Sixth Sense Ventures,Private Equity,31.54,2017-11-27
28/11/2017,chumbak,Lifestyle,Designer-led consumer products,Bangalore,Gaja Capital,Private Equity,107.9,2017-11-28
28/11/2017,fr8,Technology,Online Truck aggregator platform,Chennai,IFMR Capital,Debt Funding,12.45,2017-11-28
28/11/2017,mobiefit,Healthcare,Health and fitness based mobile App,Goa,"NB Ventures, MediAssist",Seed/Angel Funding,11.21,2017-11-28
28/11/2017,stanzaliving,Technology,Student accommodation platform,Delhi,"Matrix PArtners, Accel",Private Equity,16.6,2017-11-28
03/10/2017,chqbook,Consumer Internet,Home Loans Aggregation platform,Gurgaon,"Startup Buddy, Apurva Chamaria,Sachin Arora, Bharat Gupta, Amit Manocha",Seed Funding,0.0,2017-10-03
03/10/2017,homecapital,Consumer Internet,Home Loan Down payment assistance program,Mumbai,Venture Catalysts,Seed Funding,0.0,2017-10-03
03/10/2017,ola,Consumer Internet,App based cab hailing services,Bangalore,"Tencent, Softbank Group",Private Equity,913.0,2017-10-03
04/10/2017,elanic,Consumer Internet,P2P platform for Fashion sales,Bangalore,Digital Garage,Seed Funding,0.0,2017-10-04
04/10/2017,collpoll,Consumer Internet,Education collaboration platform,Bangalore,Sprout Angels,Seed Funding,2.54,2017-10-04
04/10/2017,phonepe,Consumer Internet,Digital Wallet,Bangalore,Flipkart,Private Equity,321.21,2017-10-04
05/10/2017,littleblackbook,Consumer Internet,Local Recommendations and Discoveries Platform,New Delhi,"Blume Ventures, IDG Ventures & Indian Angel Network",Private Equity,8.3,2017-10-05
05/10/2017,oorjan,Technology,rooftop solar platform,Mumbai,Globevestor,Seed Funding,3.73,2017-10-05
05/10/2017,zefo,ECommerce,Ecommerce Portal for Used Goods,Bangalore,"Sequoia India, Helion Venture Partners, Beenext",Private Equity,76.36,2017-10-05
06/10/2017,yaantra,ECommerce,Mobile repair and Refurbishment platform,New Delhi,Carpediem Capital,Private Equity,25.73,2017-10-06
06/10/2017,farmtaaza,Technology,Fresh Produce SCM company,Bangalore,"Epsilon Venture Partners, Tara India Fund IV and others",Private Equity,66.4,2017-10-06
06/10/2017,drivezy,Consumer Internet,Self Drive car and bike rental platform,Bangalore,"Das Capital, Axan Partners, Das Capital and IT Farm",Private Equity,83.0,2017-10-06
06/10/2017,slicepay,Consumer Internet,Student Micro-financing platform,Bangalore,"Das Capital, Simile Ventures",Private Equity,16.6,2017-10-06
09/10/2017,agrowave,Technology,Agriculture Supply Chain management solutions,Gurgaon,Daffodil Software,Seed Funding,0.0,2017-10-09
09/10/2017,mygubbi,eCommerce,Home Interior Designing Seller,Bangalore,"Firoze Irani, Vipul Parekh, Ananda Kallugadde, Rajesh K Murthy",Private Equity,22.41,2017-10-09
09/10/2017,ibsfin,Technology,Treasury Risk Management Solution,Bangalore,Shailesh Haribhakti,Seed Funding,0.0,2017-10-09
09/10/2017,lets,Consumer Internet,Auto Service Logistics & SAAS platform,Bangalore,Aequs Group,Private Equity,0.0,2017-10-09
09/10/2017,onestepup,Technology,Education Technology platform,New Delhi,Orient BlackSwan,Seed Funding,2.79,2017-10-09
09/10/2017,thirdwatch,Technology,AI-powered anti-fraud solutions,Gurgaon,"Rahul Agarwalla, Keshav Sanghi, Batlivala & Karani Securities",Seed Funding,0.0,2017-10-09
10/10/2017,paralleldots,Technology,AI-powered deep learning solutions,Gurgaon,"Multipoint Capital,",Private Equity,11.62,2017-10-10
10/10/2017,easydiner,Consumer Internet,online restaurant reservation platform,Gurgaon,Saama Capital and DSG Consumer Partners,Private Equity,37.35,2017-10-10
11/10/2017,meesho,ECommerce,Online Reseller Network,Bangalore,"SAIF Partners, YCombinator, Venture Highway",Private Equity,25.73,2017-10-11
11/10/2017,stanplus,Logistics,Medical Transportation Services,Hyderabad,KStart Capital,Private Equity,9.13,2017-10-11
12/10/2017,uclid,Technology,"Education Network for Institutions, teachers & Students",Hyderabad,Undisclosed investors,Seed Funding,1.95,2017-10-12
13/10/2017,policybazaar,Consumer Internet,Online insurance policy aggregator,Gurgaon,"Wellington Management, DG Ventures India, True North",Private Equity,639.1,2017-10-13
13/10/2017,gapoon,Consumer Internet,home maintenance services platform,Bangalore,"Vida Ventures, Snehal Mantri, Anshu Bahadur",Seed Funding,2.08,2017-10-13
13/10/2017,chaayos,eCommerce,Online Chai ordering platform,Gurgaon,Tiger Global Management,Private Equity,16.6,2017-10-13
16/10/2017,krazybee,Consumer Internet,Micro-lending platform,Bangalore,"Xiaomi Technologies, Shunwei Capital",Private Equity,66.4,2017-10-16
16/10/2017,renewbuy,Consumer Internet,Online Insurance Aggregator,New Delhi,Amicus Capital,Private Equity,76.36,2017-10-16
17/10/2017,fingerlix,Consumer Internet,Food Ordering Portal,Bangalore,"Accel Partners, Zephyr Peacock",Private Equity,58.1,2017-10-17
18/10/2017,bankbazaar,Consumer Internet,Online Financial Marketplace,Chennai,Experian,Private Equity,58.1,2017-10-18
18/10/2017,hasura,Technology,App building platform,Chennai,"Nexus, GREE Ventures",Private Equity,0.0,2017-10-18
18/10/2017,blackbuck,Logistics,B2B Logistics provider,Bangalore,Innoven Capital,Private Equity,63.91,2017-10-18
18/10/2017,lendenclub,Consumer Internet,Online peer-to-peer lending platform,Mumbai,Undisclosed Investor,Seed Funding,4.15,2017-10-18
23/10/2017,toppr,Consumer Internet,Mobile based learning app,Mumbai,"SAIF Partners, Helion Ventures, FIL Capital Management",Private Equity,58.1,2017-10-23
23/10/2017,rawpressery,Food & Beverage,Cold pressed Juice maker,Mumbai,"DSG Consumer Partners, Sequoia Capital, Saama Capital",Private Equity,49.8,2017-10-23
23/10/2017,cashe,Consumer Internet,app-only lending platform,Mumbai,IFMR Capital,Debt Funding,25.73,2017-10-23
23/10/2017,parkeasy,Consumer Internet,Machine learning based parking discovery,Kolkata,Rockstart Accelerator,Seed Funding,0.98,2017-10-23
24/10/2017,tagbox,Technology,Cold Chain monitoring solution,Bangalore,"Indian Angel network, IAN Fund",Seed Funding,0.0,2017-10-24
24/10/2017,fyre,Food & Beverage,Herbal energy shot maker,Mumbai,Venture Catalysts,Seed Funding,4.15,2017-10-24
24/10/2017,ziploan,Consumer Internet,SME lending platform,New Delhi,"Matrix Partners India, WaterBridge Ventures, Whiteboard Capital, Sarbvir Singh",Private Equity,24.9,2017-10-24
24/10/2017,skillenza,Consumer Internet,Online Learning Platform,Bangalore,"Blume Ventures, Indian Angel Network",Seed Funding,5.99,2017-10-24
24/10/2017,chevon,Food & Beverage,Frozen Meat provider,Mumbai,Greenfield Advisory,Private Equity,0.0,2017-10-24
25/10/2017,propstory,Consumer Internet,Real Estate content portal,Gurgaon,"Abhishek Bhatewara, Vivek Shah, Haitong Securities, Suraj Saharan, Paras Arora",Seed Funding,0.0,2017-10-25
25/10/2017,spotdraft,Consumer Internet,Contract Automation,Gurgaon,"Hunch Ventures, Spiral Ventures, 500 Startups, Singapore Angel Network, Citrus Payments",Seed Funding,4.57,2017-10-25
26/10/2017,bigbasket,eCommerce,Online Grocery portal,Bangalore,Helion Ventures Partners,Private Equity,41.5,2017-10-26
27/10/2017,ofbusiness,Technology,B2B Finance & Fulfilment Network,Gurgaon,Kotak Mahindra Bank,Debt Funding,31.54,2017-10-27
27/10/2017,ollycredit,Technology,Credit + payment mobile app,New Delhi,"Incubate Fund, Sandesh Kirkire, Anand Kumar, Yogesh Chaudhary",Seed Funding,0.0,2017-10-27
28/10/2017,cashfree,Technology,Payments Platform for Marketplaces and Fintechs,New Delhi,Y Combinator,Seed Funding,1.0,2017-10-28
28/10/2017,ola,Consumer Internet,App based cab hailing services,Bangalore,ANI Technologies Pvt. Ltd,Private Equity,63.91,2017-10-28
30/10/2017,goldfarm,Food & Beverage,Agriculture Technology,Coimbatore,Mahindra & Mahindra and Infuse Ventures,Private Equity,16.6,2017-10-30
31/10/2017,netmeds,ECommerce,Online Pharmacy,Chennai,TannCam Investment & Sistema Asia Fund,Private Equity,116.2,2017-10-31
31/10/2017,mse,Finance,Equity Stock Exchange,Mumbai,"IL&FS, Trust Capital, Rosy Blue Securities, Radhakrishan Damani and Rakesh Jhunjhunwala",Private Equity,265.6,2017-10-31
01/09/2017,aahaastores,eCommece,Online B2B store for office supplies,Chennai,YourNest Angel Fund,Private Equity,8.3,2017-09-01
